track_name,track_artist,track_popularity,playlist_genre,track_year
I'm Not Alright,Loud Luxury,55,pop,2019
SOS,Avicii,30,pop,2019
Harder,Jax Jones,62,pop,2019
The Middle,Zedd,84,pop,2018
Wanted,NOTD,70,pop,2019
Crash Into Me,Steve Aoki,37,pop,2019
Need Your Love (with Noah Kahan),Gryffin,70,pop,2019
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,pop,2019
Don't Call Me Up,Mabel,85,pop,2019
Nostalgic,A R I Z O N A,36,pop,2019
Let It Be Me,Steve Aoki,52,pop,2019
Lovers + Strangers,Starley,58,pop,2019
Sad Song (feat. TINI),Alesso,72,pop,2019
Sleepless Nights,ayokay,64,pop,2018
Save Me Tonight,ARTY,63,pop,2019
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,pop,2017
No Sleep (feat. Bonn),Martin Garrix,76,pop,2019
Feel Good (feat. Daya),Gryffin,74,pop,2017
Endless Summer,Cashae,56,pop,2019
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,pop,2019
Think About You,Kygo,71,pop,2019
Party For One,Carly Rae Jepsen,64,pop,2019
Ritual,Tiesto,82,pop,2019
Electricity (with Dua Lipa),Silk City,81,pop,2018
Lie,Shallou,41,pop,2018
I Found You (with Calvin Harris),benny blanco,62,pop,2018
Now That I Found You,Carly Rae Jepsen,5,pop,2019
All Comes Back To You,R3HAB,72,pop,2019
Need U,DVBBS,24,pop,2019
First Love,Lost Kings,58,pop,2017
Something Real,Armin van Buuren,65,pop,2019
TIME,Alesso,64,pop,2019
Something About You (with Rudimental),Elderbrook,53,pop,2019
Home (feat. Bonn),Martin Garrix,72,pop,2019
Simple (STVW Remix),FANNYPACK,39,pop,2019
Sorry,Joel Corry,75,pop,2019
Spicy (with Diplo & Charli XCX),Herve Pagez,60,pop,2019
The Upside (feat. Elle King),Lindsey Stirling,18,pop,2019
Stay,Zedd,79,pop,2017
Million Voices,Armin van Buuren,60,pop,2019
